,No,내용,날짜,조회수,태그,내용1(응답)
39,2040,"계약서상 이상한점이 있어서 질문드립니다.  중개업자가 준 계약당시(8월 9일) 중개대상물 확인설명서에는 근저당이 없다고 나옵니다. 하지만 계약하고 몇 일 뒤 등기부등본을 때보니 8월9일 날짜로 3억 정도의 근저당이 잡힌다고 나옵니다. 근데 좀 특이한것이 채무자가 새로운 집주인이고, 근저당자는 전 집주인 입니다. 참고로 소유권이전, 근저당날짜, 계약날짜 모두 동일합니다.  제가 추측하기로는 계약당시 근저당이 없는척을 하기 위해, 1. 아침에 소유권만 이전하고 2. 점심시간에 전세계약(근저당이 없으니 제가 안심하고 전세계약)3. 오후에 근저당 설정 (채무자-> 새 집주인 ,  근저당자-> 전 집주인)  이렇게 한것은 아닐지 생각이 되는데요,,근데 제가 알기로 이런경우는 소유권이전과 근저당설정을 동시에 해야하는것으로 알고 있는데, 어떻게 된 것일까요?.,,,",2022.09.06,29.0,전세,"         계약서상 이상한점이 있어서 질문드립니다. 중개업자가 준 계약당시(8월 9일) 중개대상물 확인설명서에는 근저당이 없다고 나옵니다. 하지만 계약하고 몇 일 뒤 등기부등본을 때보니 8월9일 날짜로 3억 정도의 근저당이 잡힌다고 나옵니다. ---> 그런 경우라면 잔금일에 님의 잔금으로 매매대금의 잔금을 치렀을 것인데 그 날 돈이 부족하여 저당권설정을 하여 님보다는 우선순위의 담보대출을 받았을 가능성이 있으므로 대출을 받았다면 님의 임차권이후순위가 될 것이므로 문제가 있겠지요, 저당권 설정이 되었는지 확인 해 보시기 바랍니다.​     "
40,2041,이번에 3.5억 계약 하려 하는데 일단 1주일 유예 달라했습니다.전세대출 80%가 안된다해서 다른걸 조건하시는데 아래와 같습니다.특약도 제쪽으로 최대한 유리하게 걸고..?(애매하네요)100프로 보증금 보험걸고 이자지원 2년치 해주는데.. 이자지원을 갑자기 해준다는게 좀 무섭네요좋은말은 못본거 같에서.. 하지 말아야 할까요?,2022.06.05,53.0,전세,"         네.전세계약에 대하여 답변합니다.​​전세로 임대차 계약을 하는데 무슨 이지지원을 해준다고 하나요?​이자지원이라는 말 자체가 불공정한 거래를 감추기 위한 거짓입니다,​다른 매물을 알아 보시는 것이 좋아 보입니다,     "
41,2042,우리나라에서 전세사기 당할 확률이 어느정도 인가요? 그리고 만약 사기 당해도 법적으로 다 돌려받을 수 있죠?,2022.03.06,286.0,전세,"         방송에 나오니 자주 있다고 생각하시겠지만 거의 없습니다.하루에도 전국에서 몇건의 전세, 월세 계약이 있는지? 셀 수 없을 정도이지만 대부분 정상적이며 사기는 거의 없습니다.%로 따지면 1~2%라고 할 정도로 대부분은 사기 사건은 없다고 봐도 과언이 아닙니다.     "
42,2043,2022년9월28일 전세사기 후속대책으로 미납국세가 있다하더라도 전세보증금을 보존해준다라는 내용발표가있습니다그러면집주인 국세미납으로 압류금이 3800만원있습니다이후 전세계약을 하였고 집주인이 국세를 납부하지않았는데 이렇다면 위내용대로라면 전세보증금을 보장받을수있을까요?,2022.09.28,97.0,전세,         법무사입니다.넵 그렇습니다.     
43,2044,,,,,         법무사입니다.넵 그렇습니다.     
44,2045,2022년9월28일 전세사기 후속대책으로 미납국세가 있다하더라도 전세보증금을 보존해준다라는 내용발표가있습니다그러면집주인 국세미납으로 압류금이 3800만원있습니다이후 전세계약을 하였고 집주인이 국세를 납부하지않았는데 이렇다면 위내용대로라면 전세보증금을 보장받을수있을까요?,2022.09.28,97.0,전세,         법무사입니다.넵 그렇습니다.     
45,2046,제 이름으로만 명의이전하고제 이름으로 대출 받아서화곡동 빌라에 제 이름으로 명의이전을 했어요제 돈 가지고 간 사람은 연락 두절이고요다만 제 세컨 폰 들고 있습니다현재 이 빌라에 세입자가 있는데전세대금=매매대금 같더군요그냥 제가 이 빌라를 세입자분께 드려도 되나요..?세입자분은 그럼 더 이득이 아닌가요?사기는 사기대로 당하고전 대출사기에다가 세금까지 내고 있습니다이거 고소 가능한가요?알고있는건 그 사람 이름 생년월일제휴대폰 소지중이고 대화캡쳐와 대출금 이체내역 캡쳐있습니다,2021.08.27,1506.0,매매,         근저당없는 깨끗한 상태로 세입자한테넘겨줄 수 있나요?대출 갚으실 수 있나요?사기라고 판단되시면 경찰에 고소하는걸검토해보세요.​     
46,2047,"안녕하세요.8월달에 전세사기대출을 가담했다고 경찰에 자수한 집주인입니다.처음에는 몰랐으나 돈이 입금되기 3일 전에는 알고 취소할 수 없다고 해서 가담했습니다.카카오뱅크 청년전월세보증금 1억원이고, 대출금이 저의 통장으로 입금된 후 작업대출 브로커에게 돈 6천만원 명의자에게 2천만원 수수료 1천만원이였지만 수수료라고 하지 않고 2천만원을 빌려주면 2천만원 내가 갚겠다고 하고 이러저러한 사정이 있어서 그 명의자 일자리하며 이자갚는 거까지 신경쓰고 살았다가 말도 안 듣고 답이 없는 거 같아서 자수했습니다.돈만 잘 갚으면 되겠지 생각했으나 잘못된 생각이었습니다.1. 자수하였는데 이번에 이사를 가서 전입신고는 못하는 상황입니다. (Lh누나명의) 누나가 엘에이치전세대출받아서 살게 해주고 있습니다. 전입신고는 누나가 살고 있는 서울집으로 하라고 했습니다.2. 8월에 자수를 하였고 조사는 10월에 받았습니다.적극적으로 수사에 임하였고 아는 사실 모두와 부족하지만 작업대출자와 브로커 부동산서류 등 모두 제출하고 녹음통화도 USB에 담았습니다.3. 실형 가능성이 높을까요? 아니면 집행유예나 벌금이 나올 수 있나요? (형사님은 집유 아니면 벌금이라고 했습니다.)4. 전입신고가 안되고 주소는 형사님께 말씀드렸고 앞뒤사정 다 말씀드렸는데요, 서울집으로 우선 해놓으셔야 될 거 같다고 하더라구요. (구속수사로 바뀔 수도 있을까요? 서울집으로 해놓는다면 경찰서 이관되나요?)  관련태그: 사기/공갈, 임대차",2022.10.13,110.0,"법학, 법이론","# 법무법인 공명 | 김준성 변호사 # [변호사 프로필보기] | [더 많은 변호사 답변 보기] # 질문글 원문 링크 < 클릭  안녕하세요. 법무법인 공명의 <김준성 파트너 변호사>입니다.1. 우선 위와 같은 상황에 처해 계신 점에 대해 위로의 말씀을 전해 드립니다.2. 작업대출은 형법상 사기죄, 전기통신사업법위반죄가 적용될 수 있는 행위입니다. 실제로 본 변호사가 진행 중인 작업대출 사건은 사건명 사기로 진행하였었습니다(피해자는 금융기관입니다). 상담자분은 작업대출에 가담한다는 정을 알면서도 이에 가담하였기 때문에 혐의를 부인하기는 어려운 상황이라고 판단됩니다.3. 이런 상황이라면, 현 단계에서라도 관련 사건의 경험이 많은 형사전문 변호사를 변호인으로 선임하여 수사과정에 적극적으로 대 하실 것을 권해 드립니다. 무리하게 혐의를 부인하는 것은 상담자분에게 좋지 않습니다. 최근 본 변호사가 진행한 사건 중 1심에서 보다 2심에서 10개월이 감형된 사안이 있는데 이때 본 변호인이 피고인에게 확정적 고의가 없었다는 점을 주장, 입증하여 10개월의 감형이 이루어진 것입니다.4. 작업대출은 사회전반적으로 너무 많은 문제점들을 야기하고 있어 행위자들에 대한 엄벌이 내려지는 것이 통상의 경우입니다. 따라서 상담자분이 다른 행위자들과 달리 가담의 정도가 낮다거나 공모한 부분이 적다거나 하는 부분은 직접 입증을 하셔야 합니다. 그렇지 않으면 법정 구속될 가능성이 높습니다. 자수를 한 사정은 상담자분에게 유리한 사정으로 참작될 것이고, 취득한 금액 역시 적다는 점이 유리한 상황입니다.5. 사기죄 이외에도 사문서위조죄 및 위조사문서행사죄가 적용되어 수사가 진행될 것이고 처벌이 더욱 강해질 것입니다. 상담자분이 인정할 수밖에 없는 부분들은 변호인과 상의하여 인정하고 반성하는 태도를 보이며 대법원 양형기준표에서 정하고 있는 양형자료들을 적극적으로 수집, 제출하여야 합니다.6. 연락 주세요. 본 변호사는 형사전문(등록번호 제2019-297호) 변호사입니다. 금유기관과의 합의도 고려해보아야 합니다. 민사적으로는 연대책임 즉, 상담자분이 모든 금액을 변제해야 하는 상황이 발생할 수 있습니다.  # 지식iN 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다.  # 로톡은 법무법인이나 법률사무소가 아니며, 법률사무를 제공하지 않습니다. 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접, 독립적으로 수행합니다.  - 변호사와 의뢰인을 더 가까이, 로톡"
47,2048,제 이름으로만 명의이전하고제 이름으로 대출 받아서화곡동 빌라에 제 이름으로 명의이전을 했어요제 돈 가지고 간 사람은 연락 두절이고요다만 제 세컨 폰 들고 있습니다현재 이 빌라에 세입자가 있는데전세대금=매매대금 같더군요그냥 제가 이 빌라를 세입자분께 드려도 되나요..?세입자분은 그럼 더 이득이 아닌가요?사기는 사기대로 당하고전 대출사기에다가 세금까지 내고 있습니다이거 고소 가능한가요?알고있는건 그 사람 이름 생년월일제휴대폰 소지중이고 대화캡쳐와 대출금 이체내역 캡쳐있습니다,2021.08.27,1506.0,매매,         근저당없는 깨끗한 상태로 세입자한테넘겨줄 수 있나요?대출 갚으실 수 있나요?사기라고 판단되시면 경찰에 고소하는걸검토해보세요.​     
48,2049,"정말정말 시급하고 중요한일입니다. 도움을 구하고자 합니다.ㅠㅠ한번 읽어봐주세요!!<사건개요>1. 살고있는 빌라 전세 집주인이 변경됨.- 전 임대인과 계약했을 당시 HUG보증보험에 전액보장 보험에 가입함.- 바뀐 임대인과의 계약서는 작성하지 않음.2. 새 임대인이 우리집을 담보로 사기치고 다녀서 누군가 우리 집을 경매에 붙임. 3. 사건번호를 검색해보니 종국결과 기각 이라고 나옴. (집주인에게 받을 돈이 있는 사람이 경매를 신청했는데 배당순위에서 밀려 받을 돈이 없는 경우 무잉여기각이 된다고 들음)4. 잠수탄 임대인에게 내용증명과 공시송달을 보내면서 계속해서 계약해지 의사를 밝힐 예정임.<질문>경매가 기각되어 경매가 진행되지 않고 있는 상황인 거잖아요?잠수탄 집주인이 계속 이집 주인이라는건데, 법원에서 공시송달까지 마치면 연락이 안닿았어도 보험금으로 먼저 받아서 나가면 되는건가요?HUG안심전세대출에서 계약만료 일이 지나도 한달뒤에도 돈을 받지 못하면 신청해서 받으면 된다고 하던데 저희가 지급받지 못할 변수 같은건 없겠죠?",2022.04.18,1242.0,경매,"         경매가 기각되어 경매가 진행되지 않고 있는 상황인 거잖아요? ​==> 네​잠수탄 집주인이 계속 이집 주인이라는건데, 법원에서 공시송달까지 마치면 연락이 안닿았어도 보험금으로 먼저 받아서 나가면 되는건가요?​==> 나간 후 1개월 뒤에 받을 수 있습니다.​HUG안심전세대출에서 계약만료 일이 지나도 한달뒤에도 돈을 받지 못하면 신청해서 받으면 된다고 하던데 저희가 지급받지 못할 변수 같은건 없겠죠?​==> 없습니다.     "
49,2050,"지인의 성별은 여자이며, 전 연인관계에 있던 남자에게 명의를 빌려주어 건물주가 되어 본인 통장으로 전세금을 관리하고 있었는데, 그 남자는 이 뿐만 아니라 다른 바지사장들을 이용하여서도 다른 건물들의 보증금을 관리를 하려다 그 돈으로 사업이나, 도박 으로 그 보증금을 날리게 되어 경찰조사가 들어간 상황인데 지인은 명의만 빌려줬지 그 것으로 인해 부당한 이익을 취하지 않았습니다. 조사는 피의자 조사로 시작은 하였는데, 지인 같은 경우는 어떻게 사건 마무리가 될까요?또한 혐의가 없더라도 세입자들에 대한 채무는 떠 안아야 하는 상황인가요?",2021.10.13,74.0,"재판, 소송 절차","         안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 정종욱 입니다.​부동산 전세사기 예방 대처방안에 관해서는 아래 블로그 글 참고하시면 도움이 되실 것입니다. ​              부동산 전세사기, 예방/대처하는 방법 알려드려요 부동산 전세사기 안녕하세요. 케이엔파트너스 부동산법률연구소입니다. 오늘은 ""부동산 전세사기&quot... blog.naver.com            ​     "
50,2051,"정말정말 시급하고 중요한일입니다. 도움을 구하고자 합니다.ㅠㅠ한번 읽어봐주세요!!<사건개요>1. 살고있는 빌라 전세 집주인이 변경됨.- 전 임대인과 계약했을 당시 HUG보증보험에 전액보장 보험에 가입함.- 바뀐 임대인과의 계약서는 작성하지 않음.2. 새 임대인이 우리집을 담보로 사기치고 다녀서 누군가 우리 집을 경매에 붙임. 3. 사건번호를 검색해보니 종국결과 기각 이라고 나옴. (집주인에게 받을 돈이 있는 사람이 경매를 신청했는데 배당순위에서 밀려 받을 돈이 없는 경우 무잉여기각이 된다고 들음)4. 잠수탄 임대인에게 내용증명과 공시송달을 보내면서 계속해서 계약해지 의사를 밝힐 예정임.<질문>경매가 기각되어 경매가 진행되지 않고 있는 상황인 거잖아요?잠수탄 집주인이 계속 이집 주인이라는건데, 법원에서 공시송달까지 마치면 연락이 안닿았어도 보험금으로 먼저 받아서 나가면 되는건가요?HUG안심전세대출에서 계약만료 일이 지나도 한달뒤에도 돈을 받지 못하면 신청해서 받으면 된다고 하던데 저희가 지급받지 못할 변수 같은건 없겠죠?",2022.04.18,1242.0,경매,"         경매가 기각되어 경매가 진행되지 않고 있는 상황인 거잖아요? ​==> 네​잠수탄 집주인이 계속 이집 주인이라는건데, 법원에서 공시송달까지 마치면 연락이 안닿았어도 보험금으로 먼저 받아서 나가면 되는건가요?​==> 나간 후 1개월 뒤에 받을 수 있습니다.​HUG안심전세대출에서 계약만료 일이 지나도 한달뒤에도 돈을 받지 못하면 신청해서 받으면 된다고 하던데 저희가 지급받지 못할 변수 같은건 없겠죠?​==> 없습니다.     "
51,2052,,,,,"         경매가 기각되어 경매가 진행되지 않고 있는 상황인 거잖아요? ​==> 네​잠수탄 집주인이 계속 이집 주인이라는건데, 법원에서 공시송달까지 마치면 연락이 안닿았어도 보험금으로 먼저 받아서 나가면 되는건가요?​==> 나간 후 1개월 뒤에 받을 수 있습니다.​HUG안심전세대출에서 계약만료 일이 지나도 한달뒤에도 돈을 받지 못하면 신청해서 받으면 된다고 하던데 저희가 지급받지 못할 변수 같은건 없겠죠?​==> 없습니다.     "
52,2053,약 28년전에 전세사기를 당했습니다집주인이 전세 여러채놓고 전세금 받고 잠적했어요집주인 기다리면서 몇년살다 좁아서 이사를 나오고아빠만 주소를 거기에 뒀어요(현재은 돌아가셨습니다)그런데 얼마전에 연락이왔는데재개발로 인해서 그집이 보상을 받았답니다보상과 직원에게 연락하니등기부에 전세입자가 없어서 지급했다 하더군요이럴경우 저희가 전세금 원금이나 추가적인 보상을 받을수있는 방법이 있을까요?? 전세계약서는 가지고 있구요 짐도 아직 그대로 있습니다저희집 말고도 3집이 피해본상황에서 소송으로 보상받을수있을까요? 괜히 변호사비용만 난리는거같아서 고민이 됩니다 답변 부탁드립니다,2021.07.23,280.0,전세,         1.주거이전비     정비구역에서 3개월이상 거주한 세입자는 가구원수의 4개월분의 주거이전비를 보상금을 지불합니다.     3인가족 약 1740만원2.인정시점 정비구역 지정을 위한 주민공람 공고일로 봅니다.3.이사비     실지이사비용(점유한 주택면적 참고함)4.준비서류    1.주민등록초본 1부  2.임대차계약서 1부 3.은행통장사본 1부 4.기타  요구서류5.상담 00사업조합.   지자체의  감독지도부서      
53,2054,전세 확인 법전세계약과 등기부등본 표제부 주소지 같음전세계약자 소유권자 갑구 일치갑구에 가처분 예고등기 압류 가압류 없음을구 근저당 빨간줄로 지워져있음여기까지는 안전한 거 같은데곧 2년이고 재계약을 하려하는데명의가 사람이름이아닌네스코개발주식회사 이런 회사 이름으로 돼있습니다전세계약서와 동일하면 안전한걸까요?,2022.08.04,161.0,전세,         ​전세 확인 법전세계약과 등기부등본 표제부 주소지 같음전세계약자 소유권자 갑구 일치갑구에 가처분 예고등기 압류 가압류 없음을구 근저당 빨간줄로 지워져있음​---> 여기까진 안전해요.​네스코개발주식회사 ...법인 소유의 주택인 경우 조금 애매합니다. 등기상으로는 깔끔하고 좋은데 혹여나 잘못되서 경매로 넘어가면 저 법인의 직원 밀린 임금이 님의 순위보다 앞섭니다. ​저 회사의 재무구조 어느 정도 조사하셔서 튼튼한 회사이면 진행하셔도 됩니다. ​혹 불안하시면 전세권설정 동의 받아서 해두시면 좋고요.     
54,2055,"현재 전세 이번달 만기이나 집주인은 새 임차인이 구해져야 보증금을 돌려줄 수 있다라고 말했으며 만기되기 6개월 전부터 말했음에도 이후 집을 보러오는 사람도 없었으며주변 부동산, 직방 또는 다방 같은 부동산 어플에도 해당 집은 나와있지않았습니다.만기 두달 전 이사를 알아보기위해 다시 연락했으나 똑같은 말만 하는 상황입니다.기존 집주인 a, 현재 집주인 b 계약 당시 기존집주인 a > 현재 집주인 b 매매 계약을 한 후 바로 저의 전세계약을 진행했습니다.중개인은 원래 그런거라고 이렇게 진행된다라고 했고등기부등본상에는 다른 문제는 없었기때문에 계약 후 바로 확정일자를 받았으니 괜찮다고 생각했습니다.또 알고보니 현재 집주인은 깡통전세로 유명하여 보증보험에서도 블랙리스트로 가입이 안된다고 합니다.. 중개인은 그러한 부분도 말 없이 전세보증 안된다 여기 지역엔 그런곳이 많다 원래 그렇다 라고만 하며 모른채 넘어갔습니다..지금 이제와서 이러한 부분들을 알게되었고 경찰청 수사관에서도 임대인이 조사받는 중이라고 피해사실을 알려주셨는데제가 지금 묻고싶은 부분은형사고소를 진행시에 제 보증금 반환에 불이익이 생기는지 입니다..그리고 보증금 반환을 하기 위해서는 민사소송도 진행으로 알고있는데 같이 진행이 맞을까요.?경매로 넘어갈시 보증금을 전체 다 못받을거라고 들었는데 정말 전체 금액을 다 받을 방법은 없을까요......사회초년생으로 처음으로 전세계약을 해보았는데 이렇게 되니 정말 암담하고 열심히 모은 돈을 잃을 생각에 너무 하루하루가 힘든 상태입니다..자세하게 알려주신다면 감사하겠습니다.",2022.10.20,39.0,"부동산, 건축",         형사고소하는거와 전세 보증금 반환과는 상관이 없습니다 진행은 같이 하는게 좋겠지만 임대인이 블랙리스트에 등재된 사람이라면 자기 명의로 재산이 있을지는 미지수입니다 진행과는 상관없이 문제는 그거겠죠 그리고 형사고소가 가능한지도 따져봐야할 문제구요 경매로 넘어 간다고해서 다 못받는건 아닙니다 부동산 경매라는게 워낙 따져봐야할 요소들이 많은지라 이런 문제 같은경우는 고려해야할 요소들이 많아서 정확한 상황을 듣고 답변하는게 가장 최선일듯 합니다 질문만 봐서는 가능할수도 있다 단 질문글이 정확하다는 의미에서요 상담이 필요하다면 연락주시고 부디 일 잘해결하시기 바랍니다      
55,2056,우리나라에서 전세사기 당할 확률이 어느정도 인가요? 그리고 만약 사기 당해도 법적으로 다 돌려받을 수 있죠?,2022.03.06,286.0,전세,"         방송에 나오니 자주 있다고 생각하시겠지만 거의 없습니다.하루에도 전국에서 몇건의 전세, 월세 계약이 있는지? 셀 수 없을 정도이지만 대부분 정상적이며 사기는 거의 없습니다.%로 따지면 1~2%라고 할 정도로 대부분은 사기 사건은 없다고 봐도 과언이 아닙니다.     "
56,2057,2022년9월28일 전세사기 후속대책으로 미납국세가 있다하더라도 전세보증금을 보존해준다라는 내용발표가있습니다그러면집주인 국세미납으로 압류금이 3800만원있습니다이후 전세계약을 하였고 집주인이 국세를 납부하지않았는데 이렇다면 위내용대로라면 전세보증금을 보장받을수있을까요?,2022.09.28,97.0,전세,         법무사입니다.넵 그렇습니다.     
57,2058,,,,,         법무사입니다.넵 그렇습니다.     
58,2059,제 이름으로만 명의이전하고제 이름으로 대출 받아서화곡동 빌라에 제 이름으로 명의이전을 했어요제 돈 가지고 간 사람은 연락 두절이고요다만 제 세컨 폰 들고 있습니다현재 이 빌라에 세입자가 있는데전세대금=매매대금 같더군요그냥 제가 이 빌라를 세입자분께 드려도 되나요..?세입자분은 그럼 더 이득이 아닌가요?사기는 사기대로 당하고전 대출사기에다가 세금까지 내고 있습니다이거 고소 가능한가요?알고있는건 그 사람 이름 생년월일제휴대폰 소지중이고 대화캡쳐와 대출금 이체내역 캡쳐있습니다,2021.08.27,1507.0,매매,         근저당없는 깨끗한 상태로 세입자한테넘겨줄 수 있나요?대출 갚으실 수 있나요?사기라고 판단되시면 경찰에 고소하는걸검토해보세요.​     
59,2060,약 28년전에 전세사기를 당했습니다집주인이 전세 여러채놓고 전세금 받고 잠적했어요집주인 기다리면서 몇년살다 좁아서 이사를 나오고아빠만 주소를 거기에 뒀어요(현재은 돌아가셨습니다)그런데 얼마전에 연락이왔는데재개발로 인해서 그집이 보상을 받았답니다보상과 직원에게 연락하니등기부에 전세입자가 없어서 지급했다 하더군요이럴경우 저희가 전세금 원금이나 추가적인 보상을 받을수있는 방법이 있을까요?? 전세계약서는 가지고 있구요 짐도 아직 그대로 있습니다저희집 말고도 3집이 피해본상황에서 소송으로 보상받을수있을까요? 괜히 변호사비용만 난리는거같아서 고민이 됩니다 답변 부탁드립니다,2021.07.23,280.0,전세,         1.주거이전비     정비구역에서 3개월이상 거주한 세입자는 가구원수의 4개월분의 주거이전비를 보상금을 지불합니다.     3인가족 약 1740만원2.인정시점 정비구역 지정을 위한 주민공람 공고일로 봅니다.3.이사비     실지이사비용(점유한 주택면적 참고함)4.준비서류    1.주민등록초본 1부  2.임대차계약서 1부 3.은행통장사본 1부 4.기타  요구서류5.상담 00사업조합.   지자체의  감독지도부서      
60,2061,"찜꽁비? 가계약금 일부? 명목으로 집주인한테 200만원 송금했습니다. 등기부등본은 부동산직원이 아닌 제가 직접 찾아봤고매매가=전세가 인 이상한 물건이라는 걸 알게됐습니다전형적인 깡통전세 사기에 당할 것 같아서 가계약금 반환 받고 싶은데 어떤 점을 이용해야 할까요…?아래는 제 상황입니다——————————————————————-부천시 93년식 빌라를 보고 왔습니다전세금 2억2천5백에, 허그 안심전세대출로 90% 대출 받으면2년간의 대출이자를 100퍼센트 지원해준다고 했어요(이사 하는 날 일시불로 입금해줌)(2250에 0원짜리 월세 개념)대신 감정평가사는 집주인이 아는 곳에서 해야하고대부분의 은행은 감정받은 집의 대출을 안 해주니까수협에서 진행해야한다더라구요보증보험 100% 가능하다고 안전하다고 하시는데불안해서 집 주인 바뀔 일 있다면 우리가 이사 들어간 후에소유권 변경하라는 특약 넣어달라니, 어차피 이사 전에 집주인이 바뀌면 은행에서도 이상하다고 딴지건다네요,,",2022.05.07,721.0,전세,"         전형적인 전세사기 입니다.​예를 들어 2억에 팔려고 내놨는데 안팔리니까 전세로 2억5천에 놓고도망가는 식 입니다.더 웃기는건 들어오는 임차인도 공범으로 만들어 버립니다즉, 임차인한테 지들의 수익중일부를 이자내라고 하면서 줍니다. ​​전세대출을 저리로 무한정 해주고거기다 보증금보증까지 해주니 그 제도를 악용하여 은행돈을 빼먹는 아주 악질적인 부동산 사기입니다.​그런데 보증보험에서 100%다 보증해준다고 하면 계약해도 괜찮긴 합니다나올때 보험사에서 보증금 받아서 나오면 되니까.​그런데 보험사에서 80%나 90%만 보증해주면나머지는 떼입니다.​이미 지급한 200만원은 골치 아프긴 하지만잘 얘기해서 달라고 하세요법으로 어떻게하기에도 애매 합니다정 안주면 경찰에 사기로 고소한다고해보세요그래도 안주면 부동산사기로고소하세요아마 그러면 줄겁니다​​​​​​     "
61,2062,세모녀전세사기사건 재판 결과 나왔나요?? 세모녀가 사기 친건가요? 세모녀가 사기 당한건가요?,2022.08.21,400.0,형사사건,"         안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 정종욱 변호사입니다.​세모녀 사기 사건은 현재 기소가 되어 재판이 진행 중이고, 재판 과정에서 세모녀 측이 무죄 주장을 하고 있는 것으로 파악이 됩니다. 재판 진행 상황은 아래 기사 글을 참고하시면 도움이 되실 것입니다. ​              ‘세모녀 전세사기’ 재판서 모친 측 “피해자 만난적 없어… 기망 없었다” 혐의 부인 세모녀 전세사기 재판서 모친 측 피해자 만난적 없어 기망 없었다 혐의 부인 수백채 빌라 전세 끼고 매입해 298억원 보증금 챙긴 혐의 biz.chosun.com            ​     "
62,2063,안녕하세요이번년도 4월에 지방 살다가 서울에 취업을 하게되어 집을 구하게 되었습니다.월세는 너무 비싸고 저렴한 전세는 모두 오래되고 여자혼자 살기엔 위험한 것 같아알아보다가 신축 전세 투룸을 (공동주택) 알아봤습니다부동산에서 보증보험도 된다고 하고 집이 위치도 좋고 굉장히 잘나와서 나중에 다음 세입자도 잘구해질거라고 막 좋은말만 해주길래 막 깡통전세 이런 말 들어봤지만 설마 여기는 아니겠지 하는 마음에 당장 출근을 해야해서 급하게 구하게 되었습니다그 건물의 법인회사랑 약정이 되어있는 은행 추천을 받아 마침 저도 주거래은행이기도 해서 2억 대출을 받아 잘살고있었습니다. 그러다가 갑자기 건물 실장님이 싸인할거있다고 하셔서 내려가서 보니까. 임대인이 바뀌었다고 이거 서명해야된다고 해서 뭔데요? 하니까 문제 없는거라고 원래 다 이런거다 하고 제 친구도. 신축오피스텔 사는데 자기도 이런거 했다 길래 별 의심없이 그냥 서명 했습니다어느날 갑자기 친구가 어떤 사이트를 보내줬는데 딱 제 상황 이더라고요 ㅠㅠ앞으로 계약기간도 한참 남았고 계약 끝나고 갑자기 전세금 못받을까봐 너무 걱정되고 그래요ㅠㅠ 이제와서 뒤집어 엎을수도 없겠지만 나중에 혹시 큰일 나면 해결방안이있을까요? 그리고 제가 전세사기 당한게 맞나요..?긴글 읽어주셔서 감사하고 정말 제가 바보 같겠지만 그래도 답변 꼭 좀 부탁드립니다 사진은 제 전세계약서랑 임대인 바뀐 계약서 입니다 . (문제시 삭제 하겠습니다)마지막 특약에 보증보험 된다고 하는데 확인증 같은걸 못받았는데 괜찮은 건가요? ,2021.06.21,1045.0,전세,         안녕하세요.​상황적으로 전세 사기나 갭투자등일 수 있습니다.다만 아직 무언가 문제가 발생한 게 아니라 집주인이 바뀐 부분입니다.​만약 걱정이 된다면 보증보험을 가입하거나 빨리 다른 집으로 이사를 가는게 좋을 거 같아요.​지금 상황에서 집주인이 바뀌었다고 문제가 일어난건 아니니 대처할 시간이 있습니다.준비 잘해서 피해없길 바랄게요.     
63,2064,"지인의 성별은 여자이며, 전 연인관계에 있던 남자에게 명의를 빌려주어 건물주가 되어 본인 통장으로 전세금을 관리하고 있었는데, 그 남자는 이 뿐만 아니라 다른 바지사장들을 이용하여서도 다른 건물들의 보증금을 관리를 하려다 그 돈으로 사업이나, 도박 으로 그 보증금을 날리게 되어 경찰조사가 들어간 상황인데 지인은 명의만 빌려줬지 그 것으로 인해 부당한 이익을 취하지 않았습니다. 조사는 피의자 조사로 시작은 하였는데, 지인 같은 경우는 어떻게 사건 마무리가 될까요?또한 혐의가 없더라도 세입자들에 대한 채무는 떠 안아야 하는 상황인가요?",2021.10.13,75.0,"재판, 소송 절차","         안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 정종욱 입니다.​부동산 전세사기 예방 대처방안에 관해서는 아래 블로그 글 참고하시면 도움이 되실 것입니다. ​              부동산 전세사기, 예방/대처하는 방법 알려드려요 부동산 전세사기 안녕하세요. 케이엔파트너스 부동산법률연구소입니다. 오늘은 ""부동산 전세사기&quot... blog.naver.com            ​     "
