날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1994-07-23,108,32.6,28,38.2
1994-07-24,108,33.1,28.1,38.4
1994-07-25,108,31.9,27.3,36.8
1994-07-26,108,31.7,26.9,37.1
1994-07-27,108,31,26.5,36
1994-07-28,108,31.3,27.2,35.9
1994-07-29,108,31,28.7,35.6
1994-07-30,108,29.9,27.8,32.5
1994-07-31,108,28.6,26.6,33.7
1994-08-01,108,26.3,24.8,29.3
1994-08-02,108,28.7,25.1,33.9
1994-08-03,108,28.9,26.8,32.5
1994-08-04,108,29.1,26.4,32.4
1994-08-05,108,30.2,26.8,35.6
1994-08-06,108,30.5,27.1,35.9
1994-08-07,108,29.7,27.4,33.6
1994-08-08,108,29.8,27.1,33.8
1994-08-09,108,30.4,25.6,37
1994-08-10,108,26.3,23.3,29.3
1994-08-11,108,27.4,23.2,32.6
1994-08-12,108,30.8,26.7,35.5
1994-08-13,108,31.1,26.8,36.2
1994-08-14,108,31,27.2,34.8
1994-08-15,108,30.3,28.8,33.5
1994-08-16,108,29.4,26.7,32.6
1994-08-17,108,26.6,25,29.9
1994-08-18,108,26.4,24.2,29.1
1994-08-19,108,27.6,23,32.7
1994-08-20,108,26.7,23,32.4
1994-08-21,108,26,21.5,31.6
1994-08-22,108,25.4,19,31.7
1994-08-23,108,26.1,20.7,31.6
1994-08-24,108,26.5,21.7,31.5
1994-08-25,108,24.1,22.4,26
1994-08-26,108,26.3,23.5,31.4
1994-08-27,108,26.2,23.2,30.1
1994-08-28,108,22.5,20.6,25.9
1994-08-29,108,24.6,22.1,26.4
1994-08-30,108,25.6,23.6,28.2
1994-08-31,108,25.9,22.6,30.6
1994-09-01,108,26.7,23,31.7
1994-09-02,108,25.1,23.1,28.3
1994-09-03,108,25.5,21.6,31.7
1994-09-04,108,26.6,22.6,32
1994-09-05,108,24.3,20.6,27
1994-09-06,108,23.4,18,29
1994-09-07,108,23.5,17.6,29.8
1994-09-08,108,23.3,17.8,28.9
1994-09-09,108,23.7,20.1,28.2
1994-09-10,108,21.2,18.4,23.8
1994-09-11,108,19.9,15.7,24
1994-09-12,108,20.1,15.6,25.5
1994-09-13,108,19.4,13.5,25.5
1994-09-14,108,20.8,14.8,26.6
1994-09-15,108,20.9,16.3,26.8
1994-09-16,108,20.6,14.1,26.8
1994-09-17,108,19.2,17.8,23.7
1994-09-18,108,20.4,17.9,24.9
1994-09-19,108,21.6,16.5,26.6
1994-09-20,108,20.9,17.8,26
1994-09-21,108,20.2,15.4,25.2
1994-09-22,108,19,15.2,22.8
1994-09-23,108,17.8,13.9,22.9
1994-09-24,108,17,12.8,22.9
1994-09-25,108,17.6,12.1,23.2
1994-09-26,108,17.8,15.1,22
1994-09-27,108,18.3,12.6,24.2
1994-09-28,108,19,12.4,25.5
1994-09-29,108,18.9,15.1,24.8
1994-09-30,108,17.8,12.3,23.5
1994-10-01,108,18.2,13.1,24
1994-10-02,108,18.6,13.7,24.4
1994-10-03,108,16.9,14.7,21.5
1994-10-04,108,16.2,13.4,18.9
1994-10-05,108,14.9,10.5,19.9
1994-10-06,108,19.6,15.4,23.8
1994-10-07,108,17.7,13.1,22.1
1994-10-08,108,19.2,15.1,25
1994-10-09,108,19.7,15.2,25.9
1994-10-10,108,18.6,16.9,20.4
1994-10-11,108,18.3,16.2,21.9
1994-10-12,108,17.4,15.8,20.5
1994-10-13,108,18.6,15.3,23.9
1994-10-14,108,16.1,12,22
1994-10-15,108,14.6,12.2,16.6
1994-10-16,108,16.3,13.6,21.8
1994-10-17,108,17.1,13.8,22.1
1994-10-18,108,16.2,11.2,21.2
1994-10-19,108,16.1,13,20.2
1994-10-20,108,13.3,8.6,19.5
1994-10-21,108,8.7,7.4,10.4
1994-10-22,108,11.4,7,17.5
1994-10-23,108,12.8,5.8,20.9
1994-10-24,108,14.6,10.7,20.3
1994-10-25,108,12.8,7.8,18.5
1994-10-26,108,12.8,7.6,19.3
1994-10-27,108,13.6,8.2,21.4
1994-10-28,108,12.2,8.4,17.9
1994-10-29,108,10.6,6.1,15.8
1994-10-30,108,8.7,4.7,15.5
1994-10-31,108,9.4,3.2,16.6
1994-11-01,108,11.2,5.8,17.9
1994-11-02,108,12.4,8.1,17.6
1994-11-03,108,11.1,6.9,15.7
1994-11-04,108,9.4,3.3,16
1994-11-05,108,11.5,6.8,16.4
1994-11-06,108,14.9,8.7,19.8
1994-11-07,108,8.7,4.6,14.2
1994-11-08,108,10.6,3.6,18.7
1994-11-09,108,11.9,6.3,16.3
1994-11-10,108,14.3,11.5,16.8
1994-11-11,108,11.5,7.3,15.5
1994-11-12,108,12.1,8.3,15.2
1994-11-13,108,9,3.4,16.2
1994-11-14,108,8.8,7.4,10
1994-11-15,108,8,7,9
1994-11-16,108,11,7.7,15.8
1994-11-17,108,12.6,9.7,16.6
1994-11-18,108,11.8,10.5,12.8
1994-11-19,108,10.1,7.5,13.8
1994-11-20,108,8.4,5.4,12.9
1994-11-21,108,6,2.2,10.8
1994-11-22,108,6.2,2.3,10.5
1994-11-23,108,7.3,2.9,12.9
1994-11-24,108,8.7,6.5,11
1994-11-25,108,5.5,1.6,8.5
1994-11-26,108,2.7,0,6.5
1994-11-27,108,3.5,-2.2,8.7
1994-11-28,108,8.1,5.2,11
1994-11-29,108,4.9,2.9,8.3
1994-11-30,108,5.8,1.2,12.2
1994-12-01,108,9.4,6.7,12.4
1994-12-02,108,0.1,-6.6,7.9
1994-12-03,108,-4.5,-7.6,-0.6
1994-12-04,108,-2.9,-6.7,1
1994-12-05,108,-0.2,-3,2.6
1994-12-06,108,2.8,-2.7,9.1
1994-12-07,108,7.9,4.8,10.8
1994-12-08,108,6.9,1.3,11.7
1994-12-09,108,6.6,2.3,9.7
1994-12-10,108,6,0.2,12.3
1994-12-11,108,8.3,5.9,9.8
1994-12-12,108,3.8,-0.9,5.9
1994-12-13,108,-1.5,-3.3,0.7
1994-12-14,108,-2.1,-5.5,-0.4
1994-12-15,108,-7.2,-10.3,-3.5
1994-12-16,108,-8.7,-12.6,-4.2
1994-12-17,108,-5.6,-8.7,-1.9
1994-12-18,108,-5,-7.8,-0.7
1994-12-19,108,-4.7,-9.3,-0.2
1994-12-20,108,-1.6,-5.3,1.6
1994-12-21,108,0.7,-2.1,3.6
1994-12-22,108,2.4,-0.4,5.2
1994-12-23,108,6,2.7,10
1994-12-24,108,6.9,4.7,10.5
1994-12-25,108,4.7,0.3,10.4
1994-12-26,108,5.2,2.2,7.6
1994-12-27,108,1.9,0.2,4.1
1994-12-28,108,0.4,-2.5,3.1
1994-12-29,108,-0.4,-4.3,4
1994-12-30,108,0.9,-1.8,3.4
1994-12-31,108,-1,-4,1.3
